,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
0,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,1.189,0.8883,-0.6416936548156713,1.0,1,1,0.2915583729151266,-1.8604656332776304
1,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,0.704,0.8883,0.3583063451843287,1.0,1,1,-0.23253116761761292,-1.8604656332776304
2,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,0.7348,0.8883,2.358306345184329,1.0,0,1,-0.18971117043468466,-1.8604656332776304
3,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,1.1418,0.8883,5.358306345184329,1.0,0,1,0.25105171975450347,-1.8604656332776304
4,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,0.2895,0.8883,6.358306345184329,1.0,1,1,-1.1211542267626053,-1.8604656332776304
5,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.5931673492148124,0.5,0.25,0.32,0.8883,8.358306345184328,1.0,1,1,-1.020988527981883,-1.8604656332776304
6,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,2.1108,0.60445,-0.6416936548156713,1.0,1,1,1.2505033478835117,-2.0271323002776303
7,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,0.9773,0.60445,2.358306345184329,1.0,0,1,0.48047471369678907,-2.0271323002776303
8,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,1.0368,0.60445,4.358306345184329,1.0,1,1,0.5395753719500092,-2.0271323002776303
9,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,1.3837,0.60445,6.358306345184329,1.0,0,1,0.8281973960273377,-2.0271323002776303
10,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,0.4398,0.60445,7.358306345184329,1.0,1,1,-0.31799887552734013,-2.0271323002776303
11,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.3431673492148124,0.75,1.0,2.074,0.60445,8.358306345184328,1.0,0,1,1.2329154351414715,-2.0271323002776303
12,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,1.481,1.0015,-0.6416936548156713,1.0,1,1,0.39121865916192583,-1.6937989672776301
13,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,2.067,1.0015,0.3583063451843287,1.0,1,1,0.7245994045758953,-1.6937989672776301
14,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,0.353,1.0015,2.358306345184329,1.0,1,1,-1.0427860981725763,-1.6937989672776301
15,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,0.373,1.0015,4.358306345184329,1.0,1,1,-0.9876757354620576,-1.6937989672776301
16,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,0.713,1.0015,7.358306345184329,1.0,0,1,-0.3397727346915771,-1.6937989672776301
17,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,-2.5931673492148124,1.0,0.0,0.382,1.0015,8.358306345184328,1.0,1,1,-0.9638335464992979,-1.6937989672776301
18,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.6059,0.4269,1.3583063451843287,1.0,0,1,0.35016516218702703,-2.0271323002776303
19,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.6147,0.4269,2.358306345184329,1.0,1,1,0.3645845501490474,-2.0271323002776303
20,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.8884,0.4269,4.358306345184329,1.0,0,1,0.732872298256356,-2.0271323002776303
21,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.8262,0.4269,5.358306345184329,1.0,1,1,0.6602870811987479,-2.0271323002776303
22,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.8093,0.4269,7.358306345184329,1.0,1,1,0.6396198827377398,-2.0271323002776303
23,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,-2.8431673492148124,0.25,0.25,0.8978,0.4269,8.358306345184328,1.0,0,1,0.7433975325839154,-2.0271323002776303
24,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,3.308,0.5251,-0.6416936548156713,1.0,0,1,1.8405103354997683,-2.0271323002776303
25,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,1.1501,0.5251,1.3583063451843287,1.0,1,1,0.7840154534547219,-2.0271323002776303
26,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,0.6751,0.5251,3.358306345184329,1.0,1,1,0.2512721074040113,-2.0271323002776303
27,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,1.4999,0.5251,4.358306345184329,1.0,0,1,1.0495649975575,-2.0271323002776303
28,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,0.5664,0.5251,5.358306345184329,1.0,0,1,0.07571182173569638,-2.0271323002776303
29,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,-2.8431673492148124,0.75,0.0,2.2854,0.5251,6.358306345184329,1.0,1,1,1.4707076220687998,-2.0271323002776303
30,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.5931673492148124,1.0,0.0,2.7221,0.5853,0.3583063451843287,1.0,0,1,1.5370343839322966,-1.8604656332776304
31,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.5931673492148124,1.0,0.0,0.4963,0.5853,1.3583063451843287,1.0,1,1,-0.16494395370378018,-1.8604656332776304
32,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.5931673492148124,1.0,0.0,1.4511,0.5853,2.358306345184329,1.0,0,1,0.907952632199872,-1.8604656332776304
