sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8262,0.4269,7,1,1,1
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8093,0.4269,9,1,1,1
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8978,0.4269,10,1,0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,3.308,0.5251,1,1,0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,1.1501,0.5251,3,1,1,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,0.6751,0.5251,5,1,1,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,1.4999,0.5251,6,1,0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,0.5664,0.5251,7,1,0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,2.2854,0.5251,8,1,1,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,2.7221,0.5853,2,1,0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.4963,0.5853,3,1,1,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,1.4511,0.5853,4,1,0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.1777,0.5853,5,1,1,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.623,0.5853,9,1,1,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,2.2344,0.5853,10,1,1,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,1.129,1.15415,1,1,1,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.7194,1.15415,2,1,1,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.6184,1.15415,4,1,1,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.9691,1.15415,5,1,1,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.5014,1.15415,6,1,0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,1.7872,1.15415,10,1,0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.0507,0.53345,2,1,1,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.3042,0.53345,4,1,1,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,0.6066,0.53345,6,1,1,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,0.8183,0.53345,7,1,0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.5014,0.53345,8,1,1,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.4164,0.53345,9,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,9.8656,1.0342,1,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,5.7748,1.0342,2,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,1.7268,1.0342,5,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,4.9342,1.0342,7,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,0.534,1.0342,9,1,1,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,0.5222,1.0342,10,1,1,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.8039,0.4367,4,1,0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.6153,0.4367,5,1,1,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,5.2884,0.4367,6,1,1,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.5475,0.4367,7,1,0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,4.4486,0.4367,8,1,0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,2.0495,0.4367,10,1,0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.8008,0.30415,2,1,0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.7179,0.30415,3,1,1,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.701,0.30415,6,1,0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.6319,0.30415,7,1,0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.7179,0.30415,8,1,1,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.4841,0.30415,10,1,1,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,3.0031,1.4856,1,1,1,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.5188,1.4856,2,1,0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,2.0356,1.4856,3,1,1,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.7837,1.4856,5,1,1,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.6675,1.4856,8,1,0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.6194,1.4856,9,1,1,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.5181,0.959,2,1,1,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.173,0.959,4,1,1,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.3785,0.959,5,1,1,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.2343,0.959,6,1,1,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1008,0.959,7,1,0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1284,0.959,8,1,1,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.8852,0.2271,1,1,0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,1.0436,0.2271,2,1,0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6691,0.2271,4,1,0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6752,0.2271,5,1,0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.8295,0.2271,6,1,1,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6434,0.2271,9,1,1,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,1.6182,0.37275,1,1,1,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,3.934,0.37275,2,1,0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.6908,0.37275,5,1,0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4359,0.37275,7,1,0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4584,0.37275,8,1,1,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4197,0.37275,9,1,1,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.5734,0.3132,2,1,1,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,2.1381,0.3132,3,1,1,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.4953,0.3132,4,1,1,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,1.3213,0.3132,5,1,1,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.5336,0.3132,8,1,0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,1.9716,0.3132,10,1,1,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.8217,0.3428,2,1,0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.093,0.3428,4,1,0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.9371,0.3428,5,1,1,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.6885,0.3428,7,1,1,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.3533,0.3428,9,1,1,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.7224,0.3428,10,1,0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,4.4296,0.29985,1,1,0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,3.0632,0.29985,2,1,1,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6002,0.29985,3,1,1,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6151,0.29985,6,1,1,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.2814,0.29985,7,1,1,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.3773,0.29985,8,1,1,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.9094,0.45285,2,1,0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.12,0.45285,4,1,1,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.7945,0.45285,5,1,1,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.6854,0.45285,7,1,1,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.3354,0.45285,9,1,1,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.4861,0.45285,10,1,1,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.6833,0.23345,1,1,0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.1505,0.23345,2,1,1,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.7878,0.23345,5,1,1,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.9895,0.23345,6,1,0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.3989,0.23345,8,1,1,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.8009,0.23345,10,1,1,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.9004,0.7324,2,1,1,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.8433,0.7324,3,1,0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.4981,0.7324,5,1,0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.5832,0.7324,6,1,1,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,2.7632,0.7324,7,1,0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.7497,0.7324,10,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,8.8238,0.7375,1,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,2.4284,0.7375,2,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,4.9731,0.7375,5,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,1.8297,0.7375,6,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,7.4694,0.7375,7,1,1,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,1.654,0.7375,10,1,1,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,3.6586,0.8605,1,1,0,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,4.008,0.8605,2,1,1,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,2.1819,0.8605,3,1,1,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,1.4295,0.8605,5,1,0,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.702,0.8605,7,1,1,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.8316,0.8605,9,1,1,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1667,0.9836,1,1,1,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.3692,0.9836,3,1,1,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.802,0.9836,4,1,0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.7082,0.9836,5,1,1,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.588,0.9836,8,1,1,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1348,0.9836,9,1,0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.1589,0.852,1,1,0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8678,0.852,2,1,1,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.6747,0.852,3,1,1,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.5844,0.852,4,1,1,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8685,0.852,5,1,0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.0836,0.852,9,1,0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,3.4157,0.99385,1,1,1,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,1.5589,0.99385,2,1,0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6898,0.99385,3,1,0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6836,0.99385,7,1,1,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6171,0.99385,9,1,0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6736,0.99385,10,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,9.4198,0.4025,1,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,1.7758,0.4025,2,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.9019,0.4025,3,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.8688,0.4025,4,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.772,0.4025,7,1,0,1
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,1.5092,0.4025,10,1,0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,3.282,0.9235,1,1,1,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.587,0.9235,4,1,1,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.56,0.9235,5,1,1,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.619,0.9235,6,1,1,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.686,0.9235,8,1,1,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.357,0.9235,10,1,1,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,1.0003,0.2668,3,1,1,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,1.6836,0.2668,4,1,0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.4495,0.2668,5,1,0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.6003,0.2668,8,1,0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.3335,0.2668,9,1,0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.7248,0.2668,10,1,1,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,1.502,0.369,2,1,1,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.502,0.369,4,1,1,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,1.618,0.369,5,1,0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.552,0.369,6,1,1,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.418,0.369,7,1,1,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.418,0.369,9,1,1,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,5.1065,0.6209,1,1,1,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.0064,0.6209,4,1,1,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,3.4747,0.6209,6,1,0,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.8963,0.6209,7,1,0,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.1548,0.6209,9,1,1,1
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.6437,0.6209,10,1,0,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,7.2356,1.15495,1,1,1,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,1.2589,1.15495,2,1,1,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5639,1.15495,3,1,1,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5022,1.15495,4,1,1,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5693,1.15495,5,1,1,1
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.7678,1.15495,10,1,1,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,1.1577,0.83885,1,1,0,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.8189,0.83885,2,1,0,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.6331,0.83885,3,1,0,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.8987,0.83885,7,1,0,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.4648,0.83885,8,1,0,1
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.36,0.83885,9,1,0,1
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.666666667,0.5,1,0,2.393,0.3945,4,1,0,1
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.666666667,0.5,1,0,4.097,0.3945,5,1,1,1
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.666666667,0.5,1,0,0.902,0.3945,6,1,1,1
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.666666667,0.5,1,0,0.788,0.3945,7,1,1,1
