sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,twostep_planning
63039f41fa5c21d483996be2_study6_2023-08-11_11h22.50.828.csv,0.5,1.0,0.5,0.5,0.5
5f3ec93efbd299158253f283_study6_2023-08-11_11h22.13.971.csv,1.0,0.25,0.5,0.75,0.5
5edca29654fe059801608fc0_study6_2023-08-11_08h20.38.645.csv,1.0,0.5,1.0,0.5,1.0
63e51e063af1cc5baf0c72ca_study6_2023-08-11_11h21.58.410.csv,0.5,0.5,0.5,0.25,0.5
6D_study6_2023-08-11_06h26.45.839.csv,0.25,0.25,0.75,0.5,0.75
6MP_study6_2023-08-11_09h29.20.907.csv,1.0,0.5,0.5,0.25,0.5
5e62ece11e3088084e0039b8_study6_2023-08-11_08h22.25.406.csv,0.0,0.25,0.75,0.5,0.75
6study6_2023-08-11_08h30.49.017.csv,0.5,0.5,0.5,0.5,0.5
5f27c7bee1f6e500084bc8dc_study6_2023-08-11_24h48.59.631.csv,1.0,0.5,1.0,0.5,1.0
5fd8d828c853592bc565d160_study6_2023-08-11_12h22.19.869.csv,0.5,0.0,0.5,0.75,0.5
5eb3e7d2d98e751cd2b2cd08_study6_2023-08-11_10h15.23.004.csv,1.0,0.5,1.0,1.0,1.0
5a5fae59e0cf3d000126cb05_study6_2023-08-11_11h41.15.459.csv,0.75,0.5,1.0,0.5,1.0
