consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,action_selection_two.thisRepN,action_selection_two.thisTrialN,action_selection_two.thisN,action_selection_two.thisIndex,action_selection_two.ran,resp4.keys,resp4_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_34.keys,key_resp_34.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_29.keys,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran,key_resp_29.rt
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3.7392,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.5521,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,tophat.png,watch.png,trident.png,4,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1986,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0902,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.9533,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.9603,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,hammer.png,fox.png,trident.png,7,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.7387,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.984,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.9837,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0838,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,north.png,tree.png,planet.png,3,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.9884,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.9851,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.8256,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7873,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,north.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.7911,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.777,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,north.png,tree.png,planet.png,3,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.9646,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7356,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.8006,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7267,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,1,tophat.png,watch.png,trident.png,4,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.8605,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.6853,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,1,hammer.png,fox.png,trident.png,7,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.8169,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.3962,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,1,north.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.7184,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.6336,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,1,snorkel.png,watch.png,trident.png,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.7188,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.5732,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60984a1b0cce76d16c4ca781,001,2023-08-12_20h04.17.213,study6,2022.2.5,Win32,60.26637739,60984a1b0cce76d16c4ca781,64d6e2ce8cb7a97160018342,64d7c98f34910df59164c3b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
