sub,totals,correct_on_6040
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.666666667,
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,
6318b92c7b39fed36c4514a8_study2_2022-11-23_12h51.21.824.csv,0.833333333,
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.5,
PARTICIPANT_study2_2022-11-23_12h27.36.666.csv,0.666666667,
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.333333333,
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.666666667,
5e999ce87c90241d0009d8c5_study2_2022-11-23_10h55.14.627.csv,0.666666667,
6165cce4ebbd0d82c75e40fc_study2_2022-11-23_11h53.08.899.csv,0.666666667,
616c3cbc9f45e7120b08bad6_study2_2022-11-23_12h56.45.984.csv,0.5,
5d31c6bac88f0e00164c3ccb_study2_2022-11-23_10h55.34.582.csv,0.666666667,
5baf6705848bbd0001d6fc8a_study2_2022-11-23_10h53.16.564.csv,0.5,
5efa4a03f317f187634fb535_study2_2022-11-23_10h53.06.579.csv,0.333333333,
PARTICIPANT_study2_2022-11-23_11h50.53.811.csv,0.666666667,
