,ID,Q1,Q2,Q3,Q4,CondProb
0,"What is your Prolific ID? 
Please note that this response should auto-fill with the correct ID",Which of the following do you think is more probable in the USA:,Which of the following do you think is more probable in the USA:,Which of the following do you think is more probable in the USA:,Which of the following do you think is more probable in the USA:,0
1,61034abd2af0c455d4a85668,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,1
2,60b67d59dc0a4a180a1a9ccb,that a individual from PENNSYLVANIA will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MISSOURI STATE (MO) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.5
3,613e9daebfabcfec5f0ce278,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from GEORGIA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.75
4,5ce300b94c6a040001bcc0ec,that a individual from PENNSYLVANIA will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MISSOURI STATE (MO) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.5
5,5dd6abfb428d61634c13c32c,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from GEORGIA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.75
6,5edc710e50d9be937771a6aa,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from GEORGIA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Tennessee (TN) individual will work as a  PHYSICAL THERAPIST,0.5
7,60fcdd8599d18f3caf737f38,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MISSOURI STATE (MO) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.75
8,6479423437de8e5bc2507736,that a individual from PENNSYLVANIA will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.75
9,60dccc040c30eb41bf18769e,that a individual from PENNSYLVANIA will work as a CHIROPRACTOR,that a individual from NORTH CAROLINA will work as a PHYSICAL THERAPIST,that a individual from MISSOURI STATE (MO) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.5
10,5fc6bb4182ff63089f4a26be,that a individual from PENNSYLVANIA will work as a CHIROPRACTOR,that a individual from GEORGIA will work as a PHYSICAL THERAPIST,that a individual from MARYLAND (MD) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.5
11,5deea21c3e57d1542111bea2,that a individual from ILLINOIS will work as a CHIROPRACTOR,that a individual from GEORGIA will work as a PHYSICAL THERAPIST,that a individual from MISSOURI STATE (MO) will work as a MANAGER OF FOOD SERVICES,that a individual from Massachusetts (MA) individual will work as a PHYSICAL THERAPIST,0.5
